Amount,Comparisons,Assignments,Time(ms)
100,2336,2435,0.012
200,9526,9725,0.042
300,23319,23618,0.097
400,39491,39890,0.162
500,63116,63615,0.276
600,91225,91824,0.359
700,122387,123086,0.421
800,158678,159477,0.482
900,202142,203041,0.634
1000,248065,249064,0.878
1100,305044,306143,0.882
1200,365281,366480,1.299
1300,425576,426875,1.626
1400,495662,497061,1.46
1500,569736,571235,1.677
1600,639410,641009,2.393
1700,721990,723689,2.062
1800,809003,810802,2.352
1900,909107,911006,2.59
2000,1009526,1011525,2.911
2100,1104729,1106828,3.317
2200,1212471,1214670,3.434
2300,1322671,1324970,3.855
2400,1439161,1441560,4.085
2500,1566960,1569459,4.481
2600,1691557,1694156,5.085
2700,1825932,1828631,5.359
2800,1962179,1964978,5.675
2900,2099628,2102527,6.214
3000,2243746,2246745,6.791
3100,2395013,2398112,7.03
3200,2551872,2555071,7.668
3300,2722025,2725324,8.18
3400,2880369,2883768,9.169
3500,3058789,3062288,8.713
3600,3240211,3243810,9.552
3700,3441896,3445595,10.736
3800,3634570,3638369,11.107
3900,3828335,3832234,18.888
4000,4034285,4038284,14.128
4100,4219945,4224044,12.04
4200,4434939,4439138,12.885
4300,4636667,4640966,13.267
4400,4835356,4839755,13.801
4500,5059148,5063647,14.602
4600,5273325,5277924,15.818
4700,5512339,5517038,16.966
4800,5740619,5745418,16.762
4900,5958766,5963665,17.688
5000,6196484,6201483,19.021
5100,6444744,6449843,18.725
5200,6677253,6682452,20.591
5300,6930271,6935570,21.818
5400,7209165,7214564,21.677
5500,7505256,7510755,22.255
5600,7769595,7775194,22.178
5700,8068277,8073976,23.746
5800,8358874,8364673,24.426
5900,8638657,8644556,28.463
6000,8978585,8984584,26.645
6100,9288693,9294792,27.646
6200,9582145,9588344,28.736
6300,9872535,9878834,29.104
6400,10158916,10165315,30.035
6500,10472330,10478829,33.161
6600,10802950,10809549,31.084
6700,11135362,11142061,31.985
6800,11477060,11483859,33.969
6900,11787066,11793965,35.905
7000,12127208,12134207,35.915
7100,12467858,12474957,37.004
7200,12857912,12865111,37.622
7300,13246866,13254165,37.921
7400,13623233,13630632,39.47
7500,13983397,13990896,41.705
7600,14336684,14344283,42.427
7700,14741417,14749116,43.887
7800,15202205,15210004,46.582
7900,15560362,15568261,45.138
8000,15995182,16003181,46.645
8100,16410863,16418962,53.282
8200,16802406,16810605,50.104
8300,17218621,17226920,51.382
8400,17638966,17647365,52.475
8500,18095246,18103745,53.541
8600,18565066,18573665,53.592
8700,19012972,19021671,55.32
8800,19442306,19451105,55.882
8900,19897222,19906121,57.204
9000,20297686,20306685,58.762
9100,20728511,20737610,61.461
9200,21141130,21150329,61.405
9300,21594942,21604241,63.29
9400,22047929,22057328,64.842
9500,22466980,22476479,65.962
9600,23433000,23442599,68.213
9700,23976532,23986231,70.124
9800,24485896,24495695,71.2
9900,24988466,24998365,72.343
