Amount,Comparisons,Assignments,Time(ms)
100,536,672,0.031
200,1280,1544,0.055
300,2109,2488,0.088
400,2959,3488,0.115
500,3859,4488,0.143
600,4795,5576,0.154
700,5750,6676,0.176
800,6727,7776,0.169
900,7729,8876,0.198
1000,8716,9976,0.349
1100,9740,11152,0.241
1200,10794,12352,0.445
1300,11828,13552,0.3
1400,12904,14752,0.307
1500,13987,15952,0.338
1600,15037,17152,0.377
1700,16106,18352,0.393
1800,17251,19552,0.42
1900,18322,20752,0.444
2000,19401,21952,0.48
2100,20529,23204,0.534
2200,21696,24504,0.548
2300,22809,25804,0.519
2400,23973,27104,0.577
2500,25167,28404,0.572
2600,26294,29704,0.634
2700,27429,31004,0.607
2800,28658,32304,0.837
2900,29792,33604,0.667
3000,30974,34904,0.736
3100,32120,36204,0.732
3200,33329,37504,0.766
3300,34521,38804,0.918
3400,35654,40104,0.784
3500,36877,41404,0.885
3600,38096,42704,0.888
3700,39276,44004,0.997
3800,40451,45304,0.952
3900,41693,46604,0.896
4000,42862,47904,1.009
4100,44100,49208,0.94
4200,45325,50608,1.02
4300,46527,52008,0.987
4400,47790,53408,1.01
4500,49009,54808,1.038
4600,50242,56208,1.167
4700,51492,57608,1.126
4800,52702,59008,1.141
4900,53979,60408,1.154
5000,55239,61808,1.237
5100,56482,63208,1.264
5200,57682,64608,1.268
5300,59009,66008,1.36
5400,60276,67408,1.333
5500,61561,68808,1.303
5600,62747,70208,1.345
5700,64011,71608,1.82
5800,65332,73008,1.732
5900,66566,74408,1.529
6000,67817,75808,1.413
6100,69142,77208,1.561
6200,70440,78608,1.492
6300,71654,80008,1.528
6400,72962,81408,1.537
6500,74199,82808,1.545
6600,75459,84208,1.544
6700,76842,85608,1.754
6800,78142,87008,2.016
6900,79430,88408,1.791
7000,80665,89808,1.838
7100,81945,91208,1.832
7200,83214,92608,1.708
7300,84491,94008,1.871
7400,85862,95408,1.813
7500,87122,96808,2.064
7600,88487,98208,1.829
7700,89788,99608,1.877
7800,91219,101008,1.915
7900,92411,102408,1.902
8000,93708,103808,1.936
8100,95069,105208,2.722
8200,96358,106616,1.929
8300,97690,108116,2.196
8400,99017,109616,2.249
8500,100347,111116,2.063
8600,101627,112616,2.312
8700,103001,114116,2.118
8800,104398,115616,2.329
8900,105736,117116,2.182
9000,107020,118616,2.274
9100,108410,120116,2.276
9200,109814,121616,2.302
9300,111114,123116,2.34
9400,112417,124616,2.455
9500,113796,126116,2.307
9600,115087,127616,2.561
9700,116403,129116,2.463
9800,117856,130616,2.576
9900,119230,132116,2.424
